id,screen_name,user_id,time,link,text,source,account_type,party,chamber,name,emotion_label,emotion_score,emotion_group
1345470388260675584,senmarkkelly,1324926274888888320,2021-01-02 20:41:52+00:00,https://www.twitter.com/SenMarkKelly/statuses/1345470388260675584,Beating this pandemic is going to take teamwork. I’m ready to do my part. Will you join me? #MaskUpAZ,Twitter Media Studio,office,D,senate,Mark Kelly,curiosity,0.3207692503929138,surprise
1345433402598686723,senatorloeffler,1200451909406121984,2021-01-02 18:14:54+00:00,https://www.twitter.com/SenatorLoeffler/statuses/1345433402598686723,"Happy Birthday, Georgia! #OnThisDay in 1788, Georgia ratified the United States Constitution and became the fourth state in the Union. As always, I’m humbled and proud to serve the Peach State in the U.S. Senate! 🇺🇸🍑",Twitter for iPhone,office,R,senate,Kelly Loeffler,admiration,0.40576285123825073,joy
1345533717981392901,repfredkeller,1136060761422405633,2021-01-03 00:53:31+00:00,https://www.twitter.com/RepFredKeller/statuses/1345533717981392901,Saddened to hear of the passing of PA State Representative Mike Reese. Mike was an outstanding public servant and it was an honor to work alongside him in the General Assembly. My prayers are with his family during this hard time.,Twitter for iPhone,office,R,house,Fred Keller,sadness,0.6614082455635071,sadness
1345395073295540225,reprossspano,1090328229548826627,2021-01-02 15:42:36+00:00,https://www.twitter.com/RepRossSpano/statuses/1345395073295540225,"As we enter 2021, I feel blessed to have had the opportunity to serve as a member of Congress! It has been the honor of my life to work for the people of Florida. Thank you for the tremendous opportunity you have given me to serve our country these last two years!",Twitter Web App,office,R,house,Ross Spano,gratitude,0.9466202855110168,joy
1345536352872501248,repchuygarcia,1082427779583541248,2021-01-03 01:04:00+00:00,https://www.twitter.com/HispanicCaucus/statuses/1345493691742371841,"RT . nominates Gregory Nava’s 1997 film “Selena” for inclusion in the National Film Registry—and for recognition as an example of American culture.“Given its importance as a work of Latino cinema, we believe it is deserving of preservation at the .”",Twitter Web App,office,D,house,Chuy Garcia,neutral,0.6001379489898682,neutral
1345457090752557057,ilhan,1082334352711790593,2021-01-02 19:49:02+00:00,https://www.twitter.com/Ilhan/statuses/1345457090752557057,"$2,000 recurring checks until the pandemic is over",Twitter for iPad,office,D,house,Ilhan Omar,neutral,0.9229351282119751,neutral
1345457117940101120,repjohnjoyce,1082311988926124036,2021-01-02 19:49:08+00:00,https://www.twitter.com/RepJohnJoyce/statuses/1345457117940101120,PA State Rep. Mike Reese was a dedicated public servant and a devoted husband and father. Alice and I are heartbroken by the tragic news of his passing. My full statement:,Twitter for iPhone,office,R,house,John Joyce,sadness,0.90113365650177,sadness
1345534425631580160,repjahanahayes,1082086081238102018,2021-01-03 00:56:20+00:00,https://www.twitter.com/RepJahanaHayes/statuses/1345534425631580160,Please join the for a CBC Televised Ceremonial Swearing-In on Jan. 3rd at 4 pm EST with TV One. I am humbled to work alongside selfless leaders during the 117th Congress.,Twitter for iPhone,office,D,house,Jahana Hayes,gratitude,0.47390952706336975,joy
1345557127499190272,repedcase,1081350574589833221,2021-01-03 02:26:33+00:00,https://www.twitter.com/RepEdCase/statuses/1345557127499190272,Calm before the storm? Quiet cold evening back on Capitol Hill before the 117th Congress swears in tomorrow.,Twitter for iPhone,office,D,house,Ed Case,neutral,0.712708592414856,neutral
1345382683229126657,repkirkpatrick,1081240074946252801,2021-01-02 14:53:22+00:00,https://www.twitter.com/RepKirkpatrick/statuses/1345382683229126657,"Let’s start the new year off right by acting safe and smart to fight #COVID19. By wearing a mask and staying home, we can help stop the spread.",Twitter for iPhone,office,D,house,Ann Kirkpatrick,optimism,0.3255463242530823,joy
1345412587735932929,repmalinowski,1080898026418384897,2021-01-02 16:52:12+00:00,https://www.twitter.com/RepMalinowski/statuses/1345412587735932929,Residents should be on high alert for scams and phishing schemes related to the COVID-19 vaccine. The FBI and Secret Service have received complaints of bad actors attempting to steal personal information. Learn about how to protect yourself by visiting,Twitter Web App,office,D,house,Tom Malinowski,neutral,0.4977809190750122,neutral
1345475078117535744,senatorbraun,1080870981877534720,2021-01-02 21:00:30+00:00,https://www.twitter.com/SenatorBraun/statuses/1345475078117535744,The senators and senators-elect are calling for Congress to appoint a commission to conduct a 10-day emergency audit of the election returns in states where the results are disputed.,Twitter for iPhone,office,R,senate,Mike Braun,neutral,0.9138666987419128,neutral
1345468061814554627,senatorbraun,1080870981877534720,2021-01-02 20:32:38+00:00,https://www.twitter.com/indystar/statuses/1345453697522810880,RT Braun joins other senate Republicans in vow to oppose election results when Congress convenes,Twitter for iPhone,office,R,senate,Mike Braun,neutral,0.8013445734977722,neutral
1345445860268793860,senatorbraun,1080870981877534720,2021-01-02 19:04:24+00:00,https://www.twitter.com/SenatorBraun/statuses/1345445860268793860,"""Ideally, the courts would have heard evidence and resolved these claims of serious election fraud. Twice, the Supreme Court had the opportunity to do so; twice, the Court declined.""",Twitter Web App,office,R,senate,Mike Braun,neutral,0.7524057626724243,neutral
1345431299809546241,senatorbraun,1080870981877534720,2021-01-02 18:06:33+00:00,https://www.twitter.com/FoxNews/statuses/1345421597360975875,"RT BREAKING: A coalition of GOP senators and senators-elect, led by Sen. Ted Cruz, will object to the Jan. 6 certification of the election results when a joint session of Congress meets next week unless there is an emergency 10-day audit of the results.",Twitter for iPhone,office,R,senate,Mike Braun,neutral,0.913250207901001,neutral
1345429438566174721,senatorbraun,1080870981877534720,2021-01-02 17:59:09+00:00,https://www.twitter.com/SenatorBraun/statuses/1345429438566174721,"We intend to vote on January 6 to reject the electors from disputed states as not ‘regularly given’ and ‘lawfully certified’ (the statutory requisite), unless and until an emergency 10-day audit is completed.",Twitter for iPhone,office,R,senate,Mike Braun,neutral,0.6090087890625,neutral
